node_id,name,tier,region,category,failed_firms,failed_oems,production_value_at_risk,share_of_oem_value,deepest_cascade,rank_impact,rank_customers,rank_betweenness,rank_pagerank,betweenness,pagerank,customers,best_centrality_rank,rank_gap
EQUIPMENT_0118,Vantor Systems - Shenzhen,EQUIPMENT,China,Lithography system,119,20,15356341365.281252,0.012038165990389425,4,20,57.0,561.0,49.0,0.00019806401429779593,0.001661720074344359,33.0,49.0,29.0
REFINED_MATERIAL_0367,Ember Materials - Kaohsiung,REFINED_MATERIAL,Taiwan,Packaging substrate,18,12,14014758015.225212,0.010986469972845109,3,22,175.0,420.0,375.0,0.00027959472351339853,0.0004706414642504534,14.0,175.0,153.0
REFINED_MATERIAL_0116,Isar Specialty - Gumi,REFINED_MATERIAL,Korea,PCB laminate,22,8,13389927813.56653,0.010496652150718442,2,23,48.0,17.0,48.0,0.0036579017768644437,0.0016700143628008083,40.0,17.0,-6.0
REFINED_MATERIAL_0339,Brant Chemical - Nagano,REFINED_MATERIAL,Japan,Process gas,13,12,13130365162.865345,0.01029317541106281,2,24,975.0,174.0,623.0,0.0006257708988536184,0.00032251921283648043,2.0,174.0,150.0
RAW_MATERIAL_0221,Doran Resources - Wuxi,RAW_MATERIAL,China,Crude industrial gas,14,12,13130365162.865345,0.01029317541106281,3,24,774.0,1111.0,628.0,0.0,0.00032074188500153255,3.0,628.0,604.0
EMS_0326,Lumen Assemblies - Chengdu,EMS,China,PCB assembly,12,12,13130365162.865345,0.01029317541106281,1,24,21.0,23.0,54.0,0.002829049920417812,0.001548278722342597,75.0,21.0,-3.0
OSAT_0119,Gethin Microassembly - Taichung,OSAT,Taiwan,Analog IC,14,11,12651927509.270094,0.009918117853208985,2,27,193.0,258.0,318.0,0.00047515676116793637,0.0005121900533305597,13.0,193.0,166.0
EMS_0401,Prendel Manufacturing - Villach,EMS,Europe,PCB assembly,10,10,11866054732.80361,0.009302055296028493,1,28,32.0,20.0,95.0,0.003283518202348023,0.0010714083841800088,53.0,20.0,-8.0
REFINED_MATERIAL_0153,Lethe Advanced Materials - Singapore,REFINED_MATERIAL,Southeast Asia,PCB laminate,11,8,11765414517.809845,0.00922316126882599,2,29,65.0,111.0,80.0,0.000886886109099752,0.0011722726830265652,29.0,65.0,36.0
RAW_MATERIAL_0162,Korrin Extraction - Crolles,RAW_MATERIAL,Europe,Substrate resin,12,8,11765414517.809845,0.00922316126882599,3,29,304.0,1111.0,234.0,0.0,0.0006287178320439852,9.0,234.0,205.0
HUB_015,Fremantle Port,LOGISTICS,Rest of World,Freight,67,14,11563300663.16194,0.00906471987492016,5,31,5.0,3.0,3.0,0.028923927478186715,0.027971969660832756,454.0,3.0,-28.0
RAW_MATERIAL_0391,Halcy Minerals - Taoyuan,RAW_MATERIAL,Taiwan,Gold,23,8,10564438710.280216,0.008281690525399413,4,32,549.0,1111.0,395.0,0.0,0.00045651921877504535,5.0,395.0,363.0
REFINED_MATERIAL_0067,Zephyr Specialty - Leixlip,REFINED_MATERIAL,Europe,Bonding wire,22,8,10564438710.280216,0.008281690525399413,3,32,157.0,751.0,211.0,9.699381573181484e-05,0.0006606175322906141,15.0,157.0,125.0
OSAT_0064,Renbeck Microassembly - Xi'an,OSAT,China,Power IC,20,10,10489262546.323719,0.008222758315004878,2,34,59.0,81.0,102.0,0.0011304028690029301,0.0010386568657929827,32.0,59.0,25.0
EQUIPMENT_0137,Kestrel Technologies - Yokkaichi,EQUIPMENT,Japan,Test handler,40,13,9641639938.858702,0.007558288738355577,3,35,56.0,48.0,19.0,0.0014940060736034434,0.0034454622959877333,34.0,19.0,-16.0
EMS_0489,Ystad Manufacturing - Dresden,EMS,Europe,Power module,7,7,9379693771.895054,0.007352943509082152,1,36,29.0,50.0,103.0,0.0014707869147554562,0.001012711206007772,60.0,29.0,-7.0
EMS_0134,Umber Manufacturing - Grenoble,EMS,Europe,Sensor module,5,5,9002473904.552967,0.007057232748952567,1,37,101.0,230.0,386.0,0.0005166994188747015,0.00046209527088187074,20.0,101.0,64.0
OSAT_0133,Holt Test Services - Kumamoto,OSAT,Japan,Power IC,14,6,8418974294.373929,0.006599814865644518,2,38,94.0,120.0,136.0,0.0008611622200701841,0.0008531310535714739,21.0,94.0,56.0
EMS_0283,Holt Manufacturing - Penang,EMS,Southeast Asia,PCB assembly,6,6,8342429536.678016,0.006539809785207791,1,39,146.0,236.0,369.0,0.0005075858461591518,0.00047353276261269346,16.0,146.0,107.0
EMS_0169,Solvex Electronics - Dresden,EMS,Europe,PCB assembly,9,9,8085988627.185598,0.00633878024556916,1,40,55.0,94.0,154.0,0.0010060917024270742,0.000795006444104548,37.0,55.0,15.0
REFINED_MATERIAL_0213,Palter Specialty - Xi'an,REFINED_MATERIAL,China,Process gas,21,6,7955873090.223727,0.006236779880077353,3,41,47.0,65.0,71.0,0.0012732616745932198,0.0012773882886375734,41.0,47.0,6.0
OSAT_0061,Wexler Packaging - Taichung,OSAT,Taiwan,Analog IC,10,7,7952818323.64323,0.006234385182910678,2,42,113.0,125.0,174.0,0.0008412093329337654,0.0007581210843346656,19.0,113.0,71.0
REFINED_MATERIAL_0092,Kestrel Advanced Materials - Kaohsiung,REFINED_MATERIAL,Taiwan,Packaging substrate,42,10,7853229285.465719,0.006156315195803294,3,43,34.0,84.0,58.0,0.0011109669157881859,0.0014791964173938815,51.0,34.0,-9.0
REFINED_MATERIAL_0235,Elstow Chemical - Dalian,REFINED_MATERIAL,China,Process gas,17,8,7469181592.3149,0.005855251956298327,3,44,60.0,166.0,104.0,0.0006389310413824707,0.0010093802073242377,31.0,60.0,16.0
EMS_0203,Renbeck Circuits - Taoyuan,EMS,Taiwan,Power module,6,6,7302592220.504328,0.005724658967878285,1,45,132.0,271.0,325.0,0.00045821888518321236,0.0005079451491020359,17.0,132.0,87.0
REFINED_MATERIAL_0288,Mervi Materials - Eindhoven,REFINED_MATERIAL,Europe,PCB laminate,9,6,7302592220.504328,0.005724658967878285,2,45,94.0,234.0,148.0,0.0005094474836328193,0.0008187124069440029,21.0,94.0,49.0
EMS_0194,Jarn Electronics - Hsinchu,EMS,Taiwan,Sensor module,3,3,7221432565.683163,0.0056610361704150305,1,47,304.0,505.0,597.0,0.00022038580081818008,0.00033079589537876326,9.0,304.0,257.0
OSAT_0051,Ulvid Assembly - Tainan 2,OSAT,Taiwan,Analog IC,5,3,7221432565.683163,0.0056610361704150305,2,47,83.0,41.0,147.0,0.001663101260355667,0.0008198769838283288,24.0,41.0,-6.0
OSAT_0011,Oxbow Microassembly - Dalian,OSAT,China,MEMS sensor,5,3,7221432565.683163,0.0056610361704150305,2,47,83.0,77.0,153.0,0.0011702727094051553,0.0007950934659968162,24.0,77.0,30.0
EMS_0334,Mervi Manufacturing - Malta,EMS,North America,Power module,1,1,6777758459.137218,0.005313230504130926,1,50,1211.0,1014.0,1505.0,1.934693337038723e-05,0.00012149731926915295,1.0,1014.0,964.0
EMS_0461,Jorel Assemblies - Hsinchu,EMS,Taiwan,Power module,3,3,6417705721.522727,0.005030977425901182,1,51,213.0,186.0,405.0,0.0006007402011743976,0.00044833095289766587,12.0,186.0,135.0
REFINED_MATERIAL_0183,Isar Chemical - Hiroshima,REFINED_MATERIAL,Japan,Packaging substrate,11,5,6006956002.158895,0.0047089818942449915,3,52,457.0,439.0,541.0,0.0002598878717688539,0.0003542517025884747,6.0,439.0,387.0
OSAT_0056,Wexler Test Services - Penang,OSAT,Southeast Asia,MEMS sensor,10,5,6006956002.158895,0.0047089818942449915,2,52,78.0,39.0,101.0,0.0017249070859866225,0.0010447346032885186,25.0,39.0,-13.0
EMS_0278,Mordant Electronics - Wuxi,EMS,China,Power module,1,1,5961276305.774185,0.004673172598632889,1,54,213.0,423.0,534.0,0.00027627189458793517,0.0003583432431173564,12.0,213.0,159.0
OSAT_0071,Kestrel Assembly - Xi'an,OSAT,China,Analog IC,11,6,5913269195.568264,0.00463553879331228,2,55,78.0,160.0,188.0,0.000666987923187702,0.0007243682756626496,25.0,78.0,23.0
EQUIPMENT_0127,Oxbow Instruments - Nagano,EQUIPMENT,Japan,Test handler,15,5,5621337650.2366705,0.0044066873815770576,3,56,348.0,539.0,64.0,0.0002058302780728577,0.0014263176589197231,8.0,64.0,8.0
OSAT_0068,Kestrel Packaging - Tianjin,OSAT,China,Memory IC,12,5,5621337650.2366705,0.0044066873815770576,2,56,24.0,27.0,61.0,0.0023179491384030387,0.00146041756114322,71.0,24.0,-32.0
EMS_0301,Faryn Assemblies - Dalian,EMS,China,Sensor module,4,4,5370252791.745387,0.0042098565654149975,1,58,175.0,194.0,382.0,0.0005810990664750275,0.0004654648938373201,14.0,175.0,117.0
EMS_0393,Korrin Manufacturing - Hiroshima,EMS,Japan,Power module,3,3,5354467961.4287815,0.004197482497727817,1,59,267.0,481.0,520.0,0.00023441462150009695,0.0003649363349532003,10.0,267.0,208.0
EMS_0217,Verity Electronics - Tianjin,EMS,China,Sensor module,3,3,5251990825.89176,0.004117148469037664,1,60,88.0,130.0,301.0,0.0007963891859148372,0.0005268496769040476,23.0,88.0,28.0
REFINED_MATERIAL_0028,Alder Materials - Yokkaichi,REFINED_MATERIAL,Japan,PCB laminate,11,5,5214742261.816813,0.004087948519220733,2,61,44.0,15.0,38.0,0.004774388248338004,0.0018426388417985423,44.0,15.0,-46.0
REFINED_MATERIAL_0291,Dyne Materials - Bac Ninh,REFINED_MATERIAL,Southeast Asia,PCB laminate,9,4,4960290976.640127,0.003888478688838465,2,62,348.0,110.0,171.0,0.000888308357010799,0.000764669338335495,8.0,110.0,48.0
EQUIPMENT_0006,Noral Systems - Nagano,EQUIPMENT,Japan,Ion implantation system,25,6,4926955607.093277,0.0038623463763031865,4,63,113.0,794.0,175.0,8.019568529285511e-05,0.0007550496438601347,19.0,113.0,50.0
REFINED_MATERIAL_0351,Brant Advanced Materials - Yokkaichi,REFINED_MATERIAL,Japan,Packaging substrate,14,6,4926955607.093277,0.0038623463763031865,3,63,638.0,610.0,918.0,0.00016791326500789435,0.00023752654217854786,4.0,610.0,547.0
OSAT_0048,Yarrow Packaging - Malta,OSAT,North America,Logic IC,13,6,4926955607.093277,0.0038623463763031865,2,63,48.0,44.0,122.0,0.0015432495181391499,0.0009021438948606897,40.0,44.0,-19.0
EMS_0418,Palter Circuits - Villach,EMS,Europe,Sensor module,3,3,4922983990.117338,0.0038592329404092242,1,66,146.0,275.0,328.0,0.000455399599755993,0.0005061768369025998,16.0,146.0,80.0
REFINED_MATERIAL_0232,Isar Advanced Materials - Leixlip,REFINED_MATERIAL,Europe,Process gas,4,3,4922983990.117338,0.0038592329404092242,2,66,121.0,672.0,162.0,0.000133992444041796,0.0007826176647554805,18.0,121.0,55.0
REFINED_MATERIAL_0189,Ember Specialty - Malta,REFINED_MATERIAL,North America,Bonding wire,8,4,4891696570.8438835,0.003834706060101894,3,68,1211.0,1024.0,1267.0,1.7483537308704506e-05,0.00016316280429153328,1.0,1024.0,956.0
OSAT_0003,Nevin Test Services - Icheon,OSAT,Korea,MEMS sensor,7,4,4891696570.8438835,0.003834706060101894,2,68,304.0,107.0,285.0,0.0009119053258074767,0.0005507617929038797,9.0,107.0,39.0
REFINED_MATERIAL_0139,Elstow Materials - Crolles,REFINED_MATERIAL,Europe,Process gas,17,5,4878308444.652898,0.0038242108202818322,4,70,267.0,837.0,398.0,6.481658412859338e-05,0.00045436657398310003,10.0,267.0,197.0
RAW_MATERIAL_0223,Yarrow Feedstock - Malta,RAW_MATERIAL,North America,Crude industrial gas,18,5,4878308444.652898,0.0038242108202818322,5,70,304.0,1111.0,114.0,0.0,0.0009545977491052436,9.0,114.0,44.0
OSAT_0093,Belan Packaging - Batam,OSAT,Southeast Asia,Power IC,10,7,4834856926.348334,0.0037901482413483247,2,72,267.0,86.0,366.0,0.0010752837070549305,0.00047517561546874334,10.0,86.0,14.0
EMS_0504,Wexler Electronics - Wuxi,EMS,China,PCB assembly,7,7,4834856926.348334,0.0037901482413483247,1,72,65.0,83.0,117.0,0.001115552699553427,0.0009329594212668874,29.0,65.0,-7.0
EMS_0276,Orvid Electronics - Ottawa,EMS,North America,Sensor module,3,3,4826129155.104418,0.0037833063539181614,1,74,42.0,62.0,166.0,0.0013049098804237943,0.0007715092676490273,45.0,42.0,-32.0
EMS_0392,Renbeck Assemblies - Wuxi,EMS,China,PCB assembly,4,4,4725985527.1071205,0.003704801611933403,1,75,88.0,96.0,176.0,0.0009863235495853047,0.000754869876100581,23.0,88.0,13.0
EQUIPMENT_0031,Nevin Systems - Crolles,EQUIPMENT,Europe,Test handler,14,4,4725985527.1071205,0.003704801611933403,3,75,175.0,220.0,41.0,0.0005252121429455706,0.0017918935790344102,14.0,41.0,-34.0
OSAT_0094,Elstow Test Services - Bangkok,OSAT,Southeast Asia,Logic IC,9,4,4725985527.1071205,0.003704801611933403,2,75,38.0,61.0,107.0,0.0013095019576915042,0.0009914453910585322,50.0,38.0,-37.0
EMS_0097,Gethin Manufacturing - Shenzhen,EMS,China,Sensor module,2,2,4359576919.33744,0.0034175660305069983,1,78,78.0,206.0,254.0,0.0005537635796510203,0.0006004314557747608,25.0,78.0,0.0
EMS_0448,Prendel Manufacturing - Austin,EMS,North America,Power module,2,2,4250169896.0775003,0.003331799513913713,1,79,94.0,208.0,472.0,0.0005472610117132169,0.0003979797644203817,21.0,94.0,15.0
EMS_0193,Dyne Assemblies - Xi'an,EMS,China,Sensor module,3,3,4070156620.3995733,0.0031906832387842738,1,80,52.0,281.0,158.0,0.00044707618464605113,0.0007907296775989135,38.0,52.0,-28.0
EMS_0156,Cortex Manufacturing - Dalian,EMS,China,Power module,4,4,4043797636.2906647,0.0031700198647101286,1,81,193.0,159.0,349.0,0.0006735718538872244,0.0004889765167537524,13.0,159.0,78.0
REFINED_MATERIAL_0128,Yarrow Materials - Kitakyushu,REFINED_MATERIAL,Japan,Bonding wire,3,1,4022933647.4632187,0.0031536641355196927,3,82,638.0,886.0,922.0,4.920544723334629e-05,0.00023648478820620912,4.0,638.0,556.0
OSAT_0099,Faryn Assembly - Kaohsiung,OSAT,Taiwan,Analog IC,2,1,4022933647.4632187,0.0031536641355196927,2,82,774.0,309.0,739.0,0.0004100270945995352,0.00028211277146556824,3.0,309.0,227.0
EMS_0488,Mordant Assemblies - Taoyuan,EMS,Taiwan,Sensor module,1,1,4022933647.4632187,0.0031536641355196927,1,82,774.0,405.0,887.0,0.0002896308684107552,0.00024365611582665472,3.0,405.0,323.0
EMS_0320,Quarn Circuits - Shanghai,EMS,China,PCB assembly,4,4,3982435741.426063,0.003121916956713112,1,85,157.0,101.0,309.0,0.0009464183467759602,0.0005192605074950105,15.0,101.0,16.0
EMS_0388,Lethe Electronics - Chengdu,EMS,China,Sensor module,3,3,3717341310.206281,0.0029141037354358996,1,86,234.0,827.0,508.0,6.914219638027056e-05,0.00037068793602302864,11.0,234.0,148.0
EQUIPMENT_0005,Vantor Instruments - Eindhoven,EQUIPMENT,Europe,Etch system,21,6,3709333912.094555,0.0029078265639842396,4,87,146.0,345.0,216.0,0.0003573679655249793,0.0006576708145644881,16.0,146.0,59.0
REFINED_MATERIAL_0026,Ystad Chemical - Taichung,REFINED_MATERIAL,Taiwan,Silicon wafer,17,6,3709333912.094555,0.0029078265639842396,4,87,157.0,386.0,1015.0,0.0003100603199231507,0.00021682278666280917,15.0,157.0,70.0
REFINED_MATERIAL_0025,Solvex Chemical - Hwaseong,REFINED_MATERIAL,Korea,Photoresist,22,6,3709333912.094555,0.0029078265639842396,4,87,348.0,770.0,725.0,8.996397358550741e-05,0.0002845053701403566,8.0,348.0,261.0
EQUIPMENT_0131,Solvex Precision - Austin,EQUIPMENT,North America,Lithography system,18,6,3709333912.094555,0.0029078265639842396,4,87,267.0,178.0,239.0,0.0006128373594211815,0.0006222986809550677,10.0,178.0,91.0
RAW_MATERIAL_0381,Noral Minerals - Kolwezi,RAW_MATERIAL,Rest of World,Rare earth elements,17,6,3709333912.094555,0.0029078265639842396,5,87,774.0,1111.0,531.0,0.0,0.00035885593720026877,3.0,531.0,444.0
FAB_0044,Isar Microelectronics - Kaohsiung,FAB,Taiwan,Analog die,15,6,3709333912.094555,0.0029078265639842396,3,87,234.0,55.0,253.0,0.0014015577824804375,0.0006063965691065631,11.0,55.0,-32.0
OSAT_0074,Calder Microassembly - Bac Ninh,OSAT,Southeast Asia,Analog IC,14,6,3709333912.094555,0.0029078265639842396,2,87,41.0,137.0,89.0,0.0007449796937460332,0.001102924566094238,47.0,41.0,-46.0
EQUIPMENT_0064,Umber Instruments - Penang,EQUIPMENT,Southeast Asia,Ion implantation system,19,6,3709333912.094555,0.0029078265639842396,4,87,267.0,839.0,193.0,6.468894108101016e-05,0.0007152945491520768,10.0,193.0,106.0
RAW_MATERIAL_0094,Thorne Minerals - Batangas,RAW_MATERIAL,Southeast Asia,Rare earth elements,21,6,3709333912.094555,0.0029078265639842396,5,87,407.0,1111.0,84.0,0.0,0.001148217552117505,7.0,84.0,-3.0
EQUIPMENT_0028,Renbeck Instruments - Ottawa,EQUIPMENT,North America,Metrology system,16,6,3709333912.094555,0.0029078265639842396,4,87,348.0,948.0,322.0,3.032890317748799e-05,0.0005092727428010791,8.0,322.0,235.0
EMS_0031,Oxbow Manufacturing - Malta,EMS,North America,Sensor module,2,2,3620472074.9385715,0.0028381658602756586,1,97,121.0,306.0,530.0,0.00041212018279298813,0.0003589547946667295,18.0,121.0,24.0
OSAT_0057,Orvid Assembly - Kaohsiung,OSAT,Taiwan,MEMS sensor,3,2,3620472074.9385715,0.0028381658602756586,2,97,348.0,173.0,354.0,0.0006269669614105672,0.000481232025307779,8.0,173.0,76.0
REFINED_MATERIAL_0282,Ferrin Specialty - Sendai,REFINED_MATERIAL,Japan,Process gas,3,2,3422984981.1318283,0.002683351483618199,2,99,457.0,636.0,390.0,0.00015403266030283012,0.0004609450770472605,6.0,390.0,291.0
EMS_0150,Wexler Electronics - Batangas,EMS,Southeast Asia,PCB assembly,2,2,3422984981.1318283,0.002683351483618199,1,99,549.0,327.0,661.0,0.00038206565434456444,0.0003062985233988728,5.0,327.0,228.0
OSAT_0092,Lumen Test Services - Xi'an,OSAT,China,RF IC,11,4,3410771383.792703,0.0026737769822046927,2,101,32.0,90.0,83.0,0.0010507546089649183,0.0011513406189391036,53.0,32.0,-69.0
REFINED_MATERIAL_0197,Rivet Specialty - Hiroshima,REFINED_MATERIAL,Japan,Packaging substrate,12,4,3410771383.792703,0.0026737769822046927,3,101,1211.0,995.0,1345.0,2.235572279154704e-05,0.0001482902526099998,1.0,995.0,894.0
FAB_0016,Doran Microelectronics - Shanghai,FAB,China,Power die,12,4,3348057165.0500746,0.002624613958459451,3,103,1211.0,224.0,1078.0,0.0005203512883890575,0.00020285877494065571,1.0,224.0,121.0
OSAT_0029,Palter Microassembly - Chengdu,OSAT,China,Power IC,11,4,3348057165.0500746,0.002624613958459451,2,103,31.0,33.0,68.0,0.0018720451238869438,0.0013577713620823448,54.0,31.0,-72.0
EQUIPMENT_0008,Mervi Systems - Ottawa,EQUIPMENT,North America,Metrology system,14,4,3348057165.0500746,0.002624613958459451,3,103,146.0,1111.0,97.0,0.0,0.0010667958531316284,16.0,97.0,-6.0
REFINED_MATERIAL_0127,Yarrow Materials - Taichung,REFINED_MATERIAL,Taiwan,PCB laminate,7,4,3323173763.8268137,0.0026051073255183316,2,106,44.0,57.0,36.0,0.0013625480434004851,0.0019123523747977037,44.0,36.0,-70.0
OSAT_0044,Orvid Microassembly - Dalian,OSAT,China,RF IC,16,5,3278924172.1701202,0.0025704191197342013,2,107,28.0,19.0,66.0,0.0034792444579380393,0.001368588805284354,61.0,19.0,-88.0
OSAT_0135,Stade Test Services - Batangas,OSAT,Southeast Asia,Logic IC,11,3,3274738206.5130153,0.00256713765130291,2,108,27.0,30.0,94.0,0.00195771108011326,0.001071778518003335,65.0,27.0,-81.0
EMS_0081,Quill Electronics - Bac Ninh,EMS,Southeast Asia,PCB assembly,2,2,3147910854.9645934,0.0024677149650168912,1,109,267.0,373.0,463.0,0.0003230341504526643,0.00040291588628209654,10.0,267.0,158.0
EMS_0460,Elstow Electronics - Taoyuan,EMS,Taiwan,PCB assembly,3,3,3128279026.6376114,0.002452325152920805,1,110,638.0,346.0,929.0,0.00035224613298992226,0.00023458113456936768,4.0,346.0,236.0
REFINED_MATERIAL_0372,Thorne Materials - Chengdu,REFINED_MATERIAL,China,PCB laminate,2,1,3107528815.9850397,0.002436058616886645,2,111,157.0,240.0,208.0,0.0005030937468903432,0.0006673165127576431,15.0,157.0,46.0
REFINED_MATERIAL_0241,Trellis Specialty - Yokkaichi,REFINED_MATERIAL,Japan,Photoresist,5,1,3107528815.9850397,0.002436058616886645,4,111,234.0,499.0,1110.0,0.00022424663905387318,0.00019748722499133518,11.0,234.0,123.0
OSAT_0152,Lethe Test Services - Tianjin,OSAT,China,Analog IC,2,1,3107528815.9850397,0.002436058616886645,2,111,132.0,161.0,240.0,0.0006669057791255846,0.0006222951894989592,17.0,132.0,21.0
EMS_0428,Halcy Electronics - Shanghai,EMS,China,Power module,1,1,3107528815.9850397,0.002436058616886645,1,111,638.0,645.0,1019.0,0.00015003851706043788,0.0002159401828673948,4.0,638.0,527.0
REFINED_MATERIAL_0119,Rivet Specialty - Penang,REFINED_MATERIAL,Southeast Asia,Process gas,5,1,3107528815.9850397,0.002436058616886645,2,111,48.0,74.0,77.0,0.0012008896571439607,0.001215109761298231,40.0,48.0,-63.0
FAB_0082,Calder Wafer Works - Chengdu,FAB,China,Analog die,3,1,3107528815.9850397,0.002436058616886645,3,111,549.0,485.0,481.0,0.00023103128949285274,0.000389300330790614,5.0,481.0,370.0
RAW_MATERIAL_0101,Prendel Resources - Wuxi,RAW_MATERIAL,China,Bulk chemical,6,1,3107528815.9850397,0.002436058616886645,3,111,175.0,1111.0,123.0,0.0,0.0009011620446466248,14.0,123.0,12.0
REFINED_MATERIAL_0220,Calder Chemical - Kumamoto,REFINED_MATERIAL,Japan,Bonding wire,6,2,3076741245.240122,0.002411923578582136,3,118,175.0,502.0,296.0,0.00022226989750386974,0.0005356259821835796,14.0,175.0,57.0
OSAT_0066,Alder Assembly - Hsinchu,OSAT,Taiwan,Power IC,4,2,3076741245.240122,0.002411923578582136,2,118,638.0,347.0,509.0,0.00035164399435996514,0.00037050412740792846,4.0,347.0,229.0
EMS_0027,Dyne Electronics - Dalian,EMS,China,Power module,2,2,3076741245.240122,0.002411923578582136,1,118,101.0,274.0,308.0,0.0004561900776474594,0.0005192651991232764,20.0,101.0,-17.0
EMS_0406,Brant Manufacturing - Tianjin,EMS,China,Power module,3,3,3075122755.795987,0.0024106548099269774,1,121,157.0,183.0,361.0,0.0006071545863294671,0.0004769908664154267,15.0,157.0,36.0
OSAT_0087,Ader Assembly - Crolles,OSAT,Europe,Analog IC,4,3,3075122755.795987,0.0024106548099269774,2,121,407.0,163.0,259.0,0.0006439480555884743,0.0005954046557383791,7.0,163.0,42.0
