relationship_id,supplier_node_id,buyer_node_id,category_id,via_hub_node_id,lead_time_days,annual_volume_units,unit_cost_usd,annual_value_usd,qualified_alternatives,is_single_source,sourcing_type,is_routed_freight
16,RAW_MATERIAL_0370,REFINED_MATERIAL_0003,Gold,,41,4812,232.17473513325984,1117224.8254612463,4,0,Multi-sourced,Direct
17,RAW_MATERIAL_0436,REFINED_MATERIAL_0004,Crude industrial gas,HUB_019,36,433681,7.274755969071091,3154923.44342272,1,0,Multi-sourced,Crosses a hub
18,RAW_MATERIAL_0015,REFINED_MATERIAL_0004,Crude industrial gas,HUB_030,67,469084,5.0150782796921,2352492.9797510887,1,0,Multi-sourced,Crosses a hub
19,RAW_MATERIAL_0293,REFINED_MATERIAL_0005,Silicon feedstock,HUB_015,59,122406,23.397242891662444,2863962.913396833,1,0,Multi-sourced,Crosses a hub
20,RAW_MATERIAL_0450,REFINED_MATERIAL_0005,Silicon feedstock,HUB_027,70,21455,20.499364220051344,439813.8593412016,1,0,Multi-sourced,Crosses a hub
21,RAW_MATERIAL_0286,REFINED_MATERIAL_0006,Gold,HUB_036,51,1004,189.90417992711593,190663.7966468244,1,0,Multi-sourced,Crosses a hub
22,RAW_MATERIAL_0443,REFINED_MATERIAL_0006,Gold,HUB_019,62,5930,230.73362447028316,1368250.393108779,1,0,Multi-sourced,Crosses a hub
23,RAW_MATERIAL_0065,REFINED_MATERIAL_0007,Silicon feedstock,HUB_013,95,34927,20.830202949051948,727536.4984015374,0,1,Sole-sourced,Crosses a hub
24,RAW_MATERIAL_0364,REFINED_MATERIAL_0007,Bulk chemical,HUB_011,45,815801,10.881724726888837,8877321.913920641,1,0,Multi-sourced,Crosses a hub
25,RAW_MATERIAL_0263,REFINED_MATERIAL_0007,Bulk chemical,,40,104388,12.235434894222024,1277232.5777380487,1,0,Multi-sourced,Direct
26,RAW_MATERIAL_0494,REFINED_MATERIAL_0008,Gold,HUB_002,82,2121,260.9028156220583,553374.8719343857,2,0,Multi-sourced,Crosses a hub
27,RAW_MATERIAL_0069,REFINED_MATERIAL_0008,Gold,HUB_011,65,15315,277.72348008673686,4253335.097528375,2,0,Multi-sourced,Crosses a hub
28,RAW_MATERIAL_0031,REFINED_MATERIAL_0008,Gold,HUB_008,55,4409,216.43675958643607,954269.6730165966,2,0,Multi-sourced,Crosses a hub
29,RAW_MATERIAL_0010,REFINED_MATERIAL_0008,Copper,HUB_015,88,252998,13.417451335641887,3394588.353014726,3,0,Multi-sourced,Crosses a hub
30,RAW_MATERIAL_0490,REFINED_MATERIAL_0008,Copper,HUB_036,41,247842,13.271922410135382,3289339.7939727735,3,0,Multi-sourced,Crosses a hub
31,RAW_MATERIAL_0295,REFINED_MATERIAL_0008,Copper,HUB_015,54,133592,7.643922165185915,1021166.8498915167,3,0,Multi-sourced,Crosses a hub
32,RAW_MATERIAL_0423,REFINED_MATERIAL_0008,Copper,HUB_023,62,91299,10.408143002745927,950253.0480077004,3,0,Multi-sourced,Crosses a hub
33,RAW_MATERIAL_0049,REFINED_MATERIAL_0009,Substrate resin,HUB_033,73,454811,10.225991114733489,4650893.244883053,0,1,Sole-sourced,Crosses a hub
34,RAW_MATERIAL_0200,REFINED_MATERIAL_0009,Copper,HUB_019,44,117780,9.058685646812016,1066931.9954815193,1,0,Multi-sourced,Crosses a hub
35,RAW_MATERIAL_0349,REFINED_MATERIAL_0009,Copper,HUB_040,74,153281,6.942994208345089,1064229.0952493437,1,0,Multi-sourced,Crosses a hub
36,RAW_MATERIAL_0116,REFINED_MATERIAL_0010,Bulk chemical,,36,527038,10.78895225733678,5686187.819802262,4,0,Multi-sourced,Direct
37,RAW_MATERIAL_0404,REFINED_MATERIAL_0010,Bulk chemical,,39,411374,9.768467412377497,4018493.5132993804,4,0,Multi-sourced,Direct
38,RAW_MATERIAL_0135,REFINED_MATERIAL_0010,Bulk chemical,HUB_015,57,424833,14.127029826015042,6001628.462075449,4,0,Multi-sourced,Crosses a hub
39,RAW_MATERIAL_0367,REFINED_MATERIAL_0010,Bulk chemical,,56,251257,10.607680724422073,2665254.035776117,4,0,Multi-sourced,Direct
40,RAW_MATERIAL_0140,REFINED_MATERIAL_0010,Bulk chemical,HUB_011,62,518366,21.023567798664402,10897902.745522471,4,0,Multi-sourced,Crosses a hub
41,RAW_MATERIAL_0343,REFINED_MATERIAL_0011,Silicon feedstock,HUB_015,87,89120,20.317016460402517,1810652.5069510723,2,0,Multi-sourced,Crosses a hub
42,RAW_MATERIAL_0474,REFINED_MATERIAL_0011,Silicon feedstock,HUB_023,86,403618,23.255861866212463,9386484.454716941,2,0,Multi-sourced,Crosses a hub
43,RAW_MATERIAL_0489,REFINED_MATERIAL_0011,Silicon feedstock,HUB_027,99,43484,20.490481290146853,891008.0884207458,2,0,Multi-sourced,Crosses a hub
44,RAW_MATERIAL_0449,REFINED_MATERIAL_0011,Bulk chemical,,56,458340,9.667813118075244,4431145.464538608,2,0,Multi-sourced,Direct
45,RAW_MATERIAL_0505,REFINED_MATERIAL_0011,Bulk chemical,,37,432568,19.637486280460042,8494548.165366039,2,0,Multi-sourced,Direct
46,RAW_MATERIAL_0409,REFINED_MATERIAL_0011,Bulk chemical,,55,810370,9.688142466263844,7850980.010386231,2,0,Multi-sourced,Direct
47,RAW_MATERIAL_0464,REFINED_MATERIAL_0012,Bulk chemical,,55,762109,17.877433909856688,13624553.27960697,0,1,Sole-sourced,Direct
48,RAW_MATERIAL_0334,REFINED_MATERIAL_0013,Substrate resin,HUB_036,42,187002,16.543176147643933,3093607.0259617106,1,0,Multi-sourced,Crosses a hub
49,RAW_MATERIAL_0210,REFINED_MATERIAL_0013,Substrate resin,HUB_019,51,189505,10.684601230465747,2024785.3561794113,1,0,Multi-sourced,Crosses a hub
50,RAW_MATERIAL_0076,REFINED_MATERIAL_0013,Copper,HUB_015,66,1385523,7.418429629551425,10278404.875624979,0,1,Sole-sourced,Crosses a hub
51,RAW_MATERIAL_0246,REFINED_MATERIAL_0014,Silicon feedstock,,43,36878,18.207208291901704,671445.4273887511,2,0,Multi-sourced,Direct
52,RAW_MATERIAL_0208,REFINED_MATERIAL_0014,Silicon feedstock,HUB_033,66,142446,15.68615476856063,2234430.0021623876,2,0,Multi-sourced,Crosses a hub
53,RAW_MATERIAL_0320,REFINED_MATERIAL_0014,Silicon feedstock,,52,58124,23.52208808675791,1367197.8479547168,2,0,Multi-sourced,Direct
54,RAW_MATERIAL_0015,REFINED_MATERIAL_0015,Crude industrial gas,HUB_030,72,1018370,7.146213937376816,7277489.887406427,1,0,Multi-sourced,Crosses a hub
55,RAW_MATERIAL_0268,REFINED_MATERIAL_0015,Crude industrial gas,HUB_042,95,807367,6.411753975809905,5176638.572187715,1,0,Multi-sourced,Crosses a hub
56,RAW_MATERIAL_0414,REFINED_MATERIAL_0016,Bulk chemical,HUB_015,89,427978,10.89996529678391,4664945.347786984,2,0,Multi-sourced,Crosses a hub
57,RAW_MATERIAL_0453,REFINED_MATERIAL_0016,Bulk chemical,,34,1083580,10.520138749612022,11399411.946304595,2,0,Multi-sourced,Direct
58,RAW_MATERIAL_0403,REFINED_MATERIAL_0016,Bulk chemical,HUB_038,53,205704,8.407277636583434,1729410.6389557587,2,0,Multi-sourced,Crosses a hub
59,RAW_MATERIAL_0210,REFINED_MATERIAL_0017,Substrate resin,,41,725714,13.990946154131445,10153425.497299347,4,0,Multi-sourced,Direct
60,RAW_MATERIAL_0157,REFINED_MATERIAL_0017,Substrate resin,HUB_031,58,126704,12.132949903055842,1537293.2845167874,4,0,Multi-sourced,Crosses a hub
61,RAW_MATERIAL_0506,REFINED_MATERIAL_0017,Substrate resin,HUB_018,73,696790,9.777768253105764,6813051.141081565,4,0,Multi-sourced,Crosses a hub
62,RAW_MATERIAL_0410,REFINED_MATERIAL_0017,Substrate resin,HUB_026,100,1120823,20.097809204203248,22526086.805682696,4,0,Multi-sourced,Crosses a hub
63,RAW_MATERIAL_0418,REFINED_MATERIAL_0017,Substrate resin,,44,955702,19.544090804639367,18678326.67017545,4,0,Multi-sourced,Direct
64,RAW_MATERIAL_0439,REFINED_MATERIAL_0017,Copper,HUB_026,60,1261780,9.04652350930205,11414722.43356714,0,1,Sole-sourced,Crosses a hub
65,RAW_MATERIAL_0481,REFINED_MATERIAL_0018,Substrate resin,,41,600057,13.02072799318866,7813178.977408808,0,1,Sole-sourced,Direct
66,RAW_MATERIAL_0159,REFINED_MATERIAL_0018,Copper,,47,689358,9.01167451034971,6212269.917105655,3,0,Multi-sourced,Direct
67,RAW_MATERIAL_0041,REFINED_MATERIAL_0018,Copper,HUB_018,94,328266,12.519338337451037,4109673.1186817023,3,0,Multi-sourced,Crosses a hub
68,RAW_MATERIAL_0467,REFINED_MATERIAL_0018,Copper,,50,144642,11.774456048548947,1703080.8717742169,3,0,Multi-sourced,Direct
69,RAW_MATERIAL_0312,REFINED_MATERIAL_0018,Copper,HUB_015,80,42262,6.875203456248563,290559.8484679768,3,0,Multi-sourced,Crosses a hub
70,RAW_MATERIAL_0234,REFINED_MATERIAL_0019,Crude industrial gas,HUB_013,73,220706,7.063927921298053,1559051.275798008,3,0,Multi-sourced,Crosses a hub
71,RAW_MATERIAL_0033,REFINED_MATERIAL_0019,Crude industrial gas,,50,507880,6.976898064033682,3543426.9887614264,3,0,Multi-sourced,Direct
72,RAW_MATERIAL_0068,REFINED_MATERIAL_0019,Crude industrial gas,HUB_000,55,376797,5.108229690778119,1924765.622796123,3,0,Multi-sourced,Crosses a hub
73,RAW_MATERIAL_0063,REFINED_MATERIAL_0019,Crude industrial gas,HUB_010,80,1308021,8.573263450631025,11214008.631957844,3,0,Multi-sourced,Crosses a hub
74,RAW_MATERIAL_0255,REFINED_MATERIAL_0019,Bulk chemical,,32,1018919,11.72310612032152,11944895.565011883,1,0,Multi-sourced,Direct
75,RAW_MATERIAL_0380,REFINED_MATERIAL_0019,Bulk chemical,,45,423346,14.489363178911688,6134013.944339547,1,0,Multi-sourced,Direct
76,RAW_MATERIAL_0334,REFINED_MATERIAL_0020,Substrate resin,HUB_036,61,262290,13.288909369885163,3485548.0386271793,1,0,Multi-sourced,Crosses a hub
77,RAW_MATERIAL_0253,REFINED_MATERIAL_0020,Substrate resin,,39,234366,14.65737701940603,3435190.8225301136,1,0,Multi-sourced,Direct
78,RAW_MATERIAL_0305,REFINED_MATERIAL_0020,Copper,HUB_011,67,221912,7.292999414676482,1618404.0861096873,2,0,Multi-sourced,Crosses a hub
79,RAW_MATERIAL_0145,REFINED_MATERIAL_0020,Copper,HUB_015,79,642610,9.440612297718337,6066631.86863678,2,0,Multi-sourced,Crosses a hub
80,RAW_MATERIAL_0336,REFINED_MATERIAL_0020,Copper,HUB_021,71,2719129,10.555431504971207,28701579.912680853,2,0,Multi-sourced,Crosses a hub
81,RAW_MATERIAL_0399,REFINED_MATERIAL_0021,Silicon feedstock,HUB_023,83,296760,26.84376160946549,7966154.695224978,2,0,Multi-sourced,Crosses a hub
82,RAW_MATERIAL_0092,REFINED_MATERIAL_0021,Silicon feedstock,HUB_034,72,96823,17.96574767888448,1739497.587512632,2,0,Multi-sourced,Crosses a hub
83,RAW_MATERIAL_0460,REFINED_MATERIAL_0021,Silicon feedstock,HUB_019,47,65363,26.419511046249532,1726858.5005160081,2,0,Multi-sourced,Crosses a hub
84,RAW_MATERIAL_0049,REFINED_MATERIAL_0022,Substrate resin,HUB_031,64,157602,13.36765476130677,2106769.1256914698,2,0,Multi-sourced,Crosses a hub
85,RAW_MATERIAL_0248,REFINED_MATERIAL_0022,Substrate resin,HUB_034,98,470930,10.746541961565297,5060869.005959946,2,0,Multi-sourced,Crosses a hub
86,RAW_MATERIAL_0410,REFINED_MATERIAL_0022,Substrate resin,HUB_024,56,519592,13.842394719382073,7192397.55703317,2,0,Multi-sourced,Crosses a hub
87,RAW_MATERIAL_0289,REFINED_MATERIAL_0022,Copper,,55,434148,11.139997421231557,4836407.600432838,1,0,Multi-sourced,Direct
88,RAW_MATERIAL_0461,REFINED_MATERIAL_0022,Copper,HUB_011,60,312708,8.770374320313262,2742566.21295652,1,0,Multi-sourced,Crosses a hub
89,RAW_MATERIAL_0409,REFINED_MATERIAL_0023,Bulk chemical,,48,629545,12.335835470132547,7765963.541044595,4,0,Multi-sourced,Direct
90,RAW_MATERIAL_0023,REFINED_MATERIAL_0023,Bulk chemical,HUB_015,61,588898,7.157934700306185,4215293.429140911,4,0,Multi-sourced,Crosses a hub
91,RAW_MATERIAL_0266,REFINED_MATERIAL_0023,Bulk chemical,HUB_037,56,166878,12.937740789359934,2159024.307446807,4,0,Multi-sourced,Crosses a hub
92,RAW_MATERIAL_0140,REFINED_MATERIAL_0023,Bulk chemical,,30,263752,12.847339397735986,3388511.4608316617,4,0,Multi-sourced,Direct
93,RAW_MATERIAL_0380,REFINED_MATERIAL_0023,Bulk chemical,HUB_023,81,237145,10.084549653449512,2391500.5275672846,4,0,Multi-sourced,Crosses a hub
94,RAW_MATERIAL_0192,REFINED_MATERIAL_0023,Rare earth elements,HUB_010,86,2680,79.134787563274,212081.23066957432,1,0,Multi-sourced,Crosses a hub
95,RAW_MATERIAL_0141,REFINED_MATERIAL_0023,Rare earth elements,,36,73371,95.1135075607978,6978573.163243296,1,0,Multi-sourced,Direct
96,RAW_MATERIAL_0130,REFINED_MATERIAL_0024,Gold,HUB_000,69,1281,220.31577253865734,282224.50462202006,2,0,Multi-sourced,Crosses a hub
97,RAW_MATERIAL_0494,REFINED_MATERIAL_0024,Gold,HUB_019,40,2192,145.74910487663544,319482.0378895849,2,0,Multi-sourced,Crosses a hub
98,RAW_MATERIAL_0370,REFINED_MATERIAL_0024,Gold,,55,1754,278.86734685173155,489133.32637793716,2,0,Multi-sourced,Direct
99,RAW_MATERIAL_0434,REFINED_MATERIAL_0024,Copper,,55,153297,7.717008320442412,1182994.2244988605,2,0,Multi-sourced,Direct
100,RAW_MATERIAL_0214,REFINED_MATERIAL_0024,Copper,HUB_034,70,170593,8.08729263469399,1379635.5124303517,2,0,Multi-sourced,Crosses a hub
101,RAW_MATERIAL_0444,REFINED_MATERIAL_0024,Copper,HUB_021,69,284560,11.176098906684361,3180270.7048861017,2,0,Multi-sourced,Crosses a hub
102,RAW_MATERIAL_0455,REFINED_MATERIAL_0025,Bulk chemical,HUB_034,54,529814,12.904029413539375,6836735.43970495,1,0,Multi-sourced,Crosses a hub
103,RAW_MATERIAL_0380,REFINED_MATERIAL_0025,Bulk chemical,HUB_009,35,148000,16.469928361855793,2437549.3975546574,1,0,Multi-sourced,Crosses a hub
104,RAW_MATERIAL_0294,REFINED_MATERIAL_0026,Silicon feedstock,HUB_015,81,113339,19.775329959237588,2241316.122250029,1,0,Multi-sourced,Crosses a hub
105,RAW_MATERIAL_0028,REFINED_MATERIAL_0026,Silicon feedstock,HUB_032,59,68013,25.72781368502982,1749825.7921599331,1,0,Multi-sourced,Crosses a hub
106,RAW_MATERIAL_0372,REFINED_MATERIAL_0027,Substrate resin,HUB_031,55,68415,13.204289734734775,903371.4822018796,2,0,Multi-sourced,Crosses a hub
107,RAW_MATERIAL_0210,REFINED_MATERIAL_0027,Substrate resin,,43,1114257,14.993592385334019,16706715.270505127,2,0,Multi-sourced,Direct
108,RAW_MATERIAL_0332,REFINED_MATERIAL_0027,Substrate resin,,40,573095,14.142433531722812,8104957.944862685,2,0,Multi-sourced,Direct
109,RAW_MATERIAL_0310,REFINED_MATERIAL_0027,Copper,HUB_023,88,401323,8.37908211793891,3362718.3728175974,1,0,Multi-sourced,Crosses a hub
110,RAW_MATERIAL_0298,REFINED_MATERIAL_0027,Copper,HUB_015,56,49333,7.947096987195438,392054.1356693125,1,0,Multi-sourced,Crosses a hub
111,RAW_MATERIAL_0410,REFINED_MATERIAL_0028,Substrate resin,HUB_034,63,1110497,9.687093855698865,10757488.665472023,3,0,Multi-sourced,Crosses a hub
112,RAW_MATERIAL_0210,REFINED_MATERIAL_0028,Substrate resin,HUB_000,69,125560,9.44479413036964,1185888.351009212,3,0,Multi-sourced,Crosses a hub
113,RAW_MATERIAL_0243,REFINED_MATERIAL_0028,Substrate resin,HUB_026,99,357752,10.973722788975394,3925871.275201525,3,0,Multi-sourced,Crosses a hub
114,RAW_MATERIAL_0448,REFINED_MATERIAL_0028,Substrate resin,HUB_023,99,247482,15.12641118539897,3743514.4929849077,3,0,Multi-sourced,Crosses a hub
115,RAW_MATERIAL_0354,REFINED_MATERIAL_0028,Copper,,32,149575,12.626918155702958,1888671.28313927,4,0,Multi-sourced,Direct
116,RAW_MATERIAL_0236,REFINED_MATERIAL_0028,Copper,HUB_015,49,242691,10.6193202786808,2577213.457753322,4,0,Multi-sourced,Crosses a hub
117,RAW_MATERIAL_0215,REFINED_MATERIAL_0028,Copper,HUB_006,75,711125,9.095708084241089,6468185.411405944,4,0,Multi-sourced,Crosses a hub
118,RAW_MATERIAL_0305,REFINED_MATERIAL_0028,Copper,HUB_010,64,369462,6.895067150078867,2547465.299402438,4,0,Multi-sourced,Crosses a hub
119,RAW_MATERIAL_0160,REFINED_MATERIAL_0028,Copper,HUB_015,84,89948,10.73941416489385,965988.825303872,4,0,Multi-sourced,Crosses a hub
120,RAW_MATERIAL_0246,REFINED_MATERIAL_0029,Silicon feedstock,HUB_026,89,19624,17.472398972156768,342878.3574296044,1,0,Multi-sourced,Crosses a hub
121,RAW_MATERIAL_0293,REFINED_MATERIAL_0029,Silicon feedstock,HUB_015,94,152675,27.201565778006223,4152999.0551571003,1,0,Multi-sourced,Crosses a hub
122,RAW_MATERIAL_0172,REFINED_MATERIAL_0029,Bulk chemical,HUB_042,72,81346,8.80269167823483,716063.7572576904,2,0,Multi-sourced,Crosses a hub
123,RAW_MATERIAL_0266,REFINED_MATERIAL_0029,Bulk chemical,HUB_026,72,52290,8.458310699249841,442285.0664637742,2,0,Multi-sourced,Crosses a hub
124,RAW_MATERIAL_0458,REFINED_MATERIAL_0029,Bulk chemical,,40,126238,10.682991098366488,1348599.4302755888,2,0,Multi-sourced,Direct
125,RAW_MATERIAL_0130,REFINED_MATERIAL_0030,Gold,,42,6757,219.97539742589498,1486373.7604067724,1,0,Multi-sourced,Direct
126,RAW_MATERIAL_0069,REFINED_MATERIAL_0030,Gold,,33,8489,267.1599564323244,2267920.8701540018,1,0,Multi-sourced,Direct
127,RAW_MATERIAL_0310,REFINED_MATERIAL_0030,Copper,,49,402890,4.15998505632366,1676016.3793422396,4,0,Multi-sourced,Direct
128,RAW_MATERIAL_0154,REFINED_MATERIAL_0030,Copper,,43,311455,8.924253391127897,2779503.339933739,4,0,Multi-sourced,Direct
129,RAW_MATERIAL_0475,REFINED_MATERIAL_0030,Copper,,35,227320,8.323804379875718,1892167.2116333481,4,0,Multi-sourced,Direct
130,RAW_MATERIAL_0161,REFINED_MATERIAL_0030,Copper,,51,715451,8.587916523661466,6144233.46477012,4,0,Multi-sourced,Direct
131,RAW_MATERIAL_0289,REFINED_MATERIAL_0030,Copper,,46,1152082,13.739836797753373,15829418.657629302,4,0,Multi-sourced,Direct
132,RAW_MATERIAL_0409,REFINED_MATERIAL_0031,Bulk chemical,HUB_013,59,591327,10.631867630456668,6286910.39031505,1,0,Multi-sourced,Crosses a hub
133,RAW_MATERIAL_0174,REFINED_MATERIAL_0031,Bulk chemical,,57,529366,10.040782878565786,5315249.069294856,1,0,Multi-sourced,Direct
134,RAW_MATERIAL_0197,REFINED_MATERIAL_0031,Rare earth elements,HUB_036,47,14912,142.45763964831878,2124328.3224357297,1,0,Multi-sourced,Crosses a hub
135,RAW_MATERIAL_0094,REFINED_MATERIAL_0031,Rare earth elements,HUB_012,42,3623,87.57128973181415,317270.78269836266,1,0,Multi-sourced,Crosses a hub
136,RAW_MATERIAL_0126,REFINED_MATERIAL_0032,Crude industrial gas,,58,958356,5.370445885175795,5146799.036733534,0,1,Sole-sourced,Direct
137,RAW_MATERIAL_0227,REFINED_MATERIAL_0032,Bulk chemical,HUB_015,52,61417,10.140166635632974,622778.6142606704,3,0,Multi-sourced,Crosses a hub
138,RAW_MATERIAL_0380,REFINED_MATERIAL_0032,Bulk chemical,,34,136318,14.224986227292014,1939121.6725319927,3,0,Multi-sourced,Direct
139,RAW_MATERIAL_0419,REFINED_MATERIAL_0032,Bulk chemical,HUB_040,64,131212,13.41872631752258,1760697.9175747728,3,0,Multi-sourced,Crosses a hub
140,RAW_MATERIAL_0140,REFINED_MATERIAL_0032,Bulk chemical,HUB_031,64,850600,10.865087465675648,9241843.398303706,3,0,Multi-sourced,Crosses a hub
141,RAW_MATERIAL_0113,REFINED_MATERIAL_0033,Substrate resin,,45,48558,9.695451643119592,470791.74088660115,1,0,Multi-sourced,Direct
142,RAW_MATERIAL_0332,REFINED_MATERIAL_0033,Substrate resin,HUB_013,79,170248,12.390807246184814,2109510.1520484723,1,0,Multi-sourced,Crosses a hub
143,RAW_MATERIAL_0475,REFINED_MATERIAL_0033,Copper,HUB_013,61,1741539,10.138304736892783,17656253.09318352,0,1,Sole-sourced,Crosses a hub
144,RAW_MATERIAL_0204,REFINED_MATERIAL_0034,Crude industrial gas,HUB_030,89,274657,6.186685037288283,1699216.352286488,1,0,Multi-sourced,Crosses a hub
145,RAW_MATERIAL_0426,REFINED_MATERIAL_0034,Crude industrial gas,,60,425853,4.760405560859249,2027232.9893085938,1,0,Multi-sourced,Direct
146,RAW_MATERIAL_0231,REFINED_MATERIAL_0034,Bulk chemical,HUB_030,50,294210,7.449794436701972,2191804.021222087,1,0,Multi-sourced,Crosses a hub
147,RAW_MATERIAL_0174,REFINED_MATERIAL_0034,Bulk chemical,,48,1137736,10.00294867280712,11380714.811204882,1,0,Multi-sourced,Direct
148,RAW_MATERIAL_0146,REFINED_MATERIAL_0035,Crude industrial gas,HUB_015,81,406512,5.898371939838517,2397758.9740076354,1,0,Multi-sourced,Crosses a hub
149,RAW_MATERIAL_0504,REFINED_MATERIAL_0035,Crude industrial gas,,35,440863,5.706199077364774,2515652.0438442663,1,0,Multi-sourced,Direct
150,RAW_MATERIAL_0210,REFINED_MATERIAL_0036,Substrate resin,HUB_023,64,64859,9.781237828691522,634401.3043311035,2,0,Multi-sourced,Crosses a hub
151,RAW_MATERIAL_0248,REFINED_MATERIAL_0036,Substrate resin,HUB_011,53,293430,16.00254072547414,4695625.525075877,2,0,Multi-sourced,Crosses a hub
152,RAW_MATERIAL_0083,REFINED_MATERIAL_0036,Substrate resin,HUB_015,80,220571,14.862580205554448,3278254.17851935,2,0,Multi-sourced,Crosses a hub
153,RAW_MATERIAL_0013,REFINED_MATERIAL_0036,Copper,HUB_026,74,81498,5.814624134303927,473880.2376975015,3,0,Multi-sourced,Crosses a hub
154,RAW_MATERIAL_0215,REFINED_MATERIAL_0036,Copper,HUB_015,63,506604,9.60956893274447,4868246.059604079,3,0,Multi-sourced,Crosses a hub
155,RAW_MATERIAL_0295,REFINED_MATERIAL_0036,Copper,,47,280001,12.266733480103166,3434697.6411623666,3,0,Multi-sourced,Direct
156,RAW_MATERIAL_0439,REFINED_MATERIAL_0036,Copper,,31,976647,9.67253287972798,9446650.219387691,3,0,Multi-sourced,Direct
157,RAW_MATERIAL_0410,REFINED_MATERIAL_0037,Substrate resin,HUB_026,68,322578,11.773605893669707,3797906.2419681866,0,1,Sole-sourced,Crosses a hub
158,RAW_MATERIAL_0485,REFINED_MATERIAL_0037,Copper,,51,123943,10.584188971162794,1311836.1336528303,2,0,Multi-sourced,Direct
159,RAW_MATERIAL_0508,REFINED_MATERIAL_0037,Copper,HUB_020,69,611787,8.477679271809125,5186533.968662289,2,0,Multi-sourced,Crosses a hub
160,RAW_MATERIAL_0200,REFINED_MATERIAL_0037,Copper,,39,89067,8.078129377222997,719494.7492411206,2,0,Multi-sourced,Direct
161,RAW_MATERIAL_0210,REFINED_MATERIAL_0038,Substrate resin,,55,303785,16.809050209672044,5106337.317945222,1,0,Multi-sourced,Direct
162,RAW_MATERIAL_0012,REFINED_MATERIAL_0038,Substrate resin,HUB_015,79,37199,10.968975195881988,408034.90831161407,1,0,Multi-sourced,Crosses a hub
163,RAW_MATERIAL_0211,REFINED_MATERIAL_0038,Copper,HUB_034,74,160426,10.29907969683386,1652240.159444269,3,0,Multi-sourced,Crosses a hub
164,RAW_MATERIAL_0289,REFINED_MATERIAL_0038,Copper,HUB_010,73,349351,5.714436120171123,1996343.9730179019,3,0,Multi-sourced,Crosses a hub
165,RAW_MATERIAL_0064,REFINED_MATERIAL_0038,Copper,,58,267856,8.491548119727444,2274512.1131577143,3,0,Multi-sourced,Direct
166,RAW_MATERIAL_0161,REFINED_MATERIAL_0038,Copper,HUB_019,45,265806,13.530624452895747,3596521.163326407,3,0,Multi-sourced,Crosses a hub
167,RAW_MATERIAL_0136,REFINED_MATERIAL_0039,Substrate resin,HUB_021,82,76307,9.948613858113104,759148.8776710366,4,0,Multi-sourced,Crosses a hub
