tier_name,region_id,trade_bloc,suppliers,buyers_served,annual_value_usd,share_of_tier_value,rank_in_tier,sole_source_value_usd,sole_source_exposure,share_of_network_value
OSAT,Korea,East Asia,12,104,27065907246.45027,0.01610292443293063,6,611045544.5204837,0.022576207734570697,0.007913557475552778
OSAT,Europe,Western,1,10,3076495456.683588,0.0018303681234896547,7,605015311.8573519,0.196657307113188,0.0008995088691488653
EMS,China,East Asia,181,722,542083721707.0433,0.4249510783441701,1,43001758464.317825,0.07932678429985607,0.15849498962769326
EMS,Southeast Asia,East Asia,80,561,275258018273.5009,0.21578067557508745,2,27349913612.922173,0.09936100602797644,0.08048021920638884
EMS,Europe,Western,42,374,196011556298.01212,0.15365767109637413,3,16292647799.168245,0.08312085321335454,0.057310058093112806
EMS,North America,Western,65,361,121574448343.17302,0.09530482258319717,4,6832629371.013739,0.05620119576218026,0.035546060797518646
EMS,Taiwan,East Asia,34,299,82207763222.95206,0.0644444321623351,5,7686161060.202938,0.09349677887911435,0.02403598938242819
EMS,South Asia,Unaligned,26,126,35647753656.38161,0.027945040129822206,6,1382894979.9734929,0.03879332743666245,0.01042272645307762
EMS,Korea,East Asia,10,44,17132333880.39265,0.013430404687488006,7,1151373788.1763,0.06720472506632658,0.005009169196448369
EMS,Japan,East Asia,4,28,5722352919.04683,0.004485875421525806,8,535883242.64330506,0.09364735978789769,0.001673107363737581
